ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Book-Rating
3426690179,Sturm der Liebe.,Rosemary Rogers,2001,Droemer Knaur,0
3442424216,"Ich, Prinzessin aus dem Hause Al Saud. Ein Leben hinter tausend Schleiern.",Jean P. Sasson,1994,Goldmann,0
3442425573,Der BronzehÃ?Â¤ndler.,Hanns Kneifel,1996,Goldmann,0
3453092007,Die zweite Haut.,Dean Koontz,1995,Heyne,8
3453176944,Der Spion und die Zauberin.,Susan King,2000,Heyne,0
3453185137,Prinz der Kelche.,Gayle Feyrer,2001,Heyne,0
3453877241,Live aus Bagdad. Das Tagebuch einer Kriegs-Reporterin.,Antonia Rados,2003,Heyne,0
3517017442,Durch TeebaumÃ?Â¶l gesund und schÃ?Â¶n.,Heidelore Kluge,1995,SÃ?Â¼dwest-Verlag,0
3596125006,Briefe der Liebe.,Maria Nurowska,1995,"Fischer (Tb.), Frankfurt",0
0140279091,Saving Private Ryan,Max Allan Collins,1998,Penguin Books Ltd,0
0553572369,Pay Dirt (Mrs. Murphy Mysteries (Paperback)),RITA MAE BROWN,1996,Bantam,7
0571058086,Waiting for Godot,Samuel Beckett,0,Faber Faber Inc,0
3499230933,Adressat unbekannt.,Kathrine Kressmann Taylor,2002,Rowohlt Tb.,10
3596151465,Henry der Held.,Roddy Doyle,2001,"Fischer (Tb.), Frankfurt",10
0099543818,"East, West",Salman Rushdie,1995,Vintage Books,0
3404147723,Im Schatten der Lilie. Die Erinnerungen der Eleonore von Aquitanien.,Patrice Leavold,2002,LÃ?Â¼bbe,0
3423111321,Die Teufelin. Roman.,Fay Weldon,1989,Dtv,0
3442136644,Endlich Nichtraucher.,Allen Carr,1992,Goldmann,9
3492232000,Ein Liebhaber zuviel ist noch zu wenig.,Gaby Hauptmann,2000,Piper,0
8434811634,"Escarabajos Vuelan Al Atardecer, Los",Maria Gripe,1995,S &amp; M Books,0
842333533X,Vieja Nueva York,Edith Wharton,2003,Planeta Pub Corp,0
8433914456,Invitacion a la Etica,Fernando Savater,1995,Anagrama,0
8437606322,Anna Karenina,Leo Tolstoy,1999,Ediciones Catedra S.A.,8
8445072919,Cuentos Inconclusos,J. R. R. Tolkien,1998,Minotauro,0
847765011X,Isabelle Eberhardt,Eglal Errera,1991,Circe,0
8478442588,El Elogio de La Sombra,Tanazaki,1998,Siruela,6
0345443683,"Blackwood Farm (Rice, Anne, Vampire Chronicles.)",ANNE RICE,2003,Ballantine Books,8
043935806X,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003,Scholastic,7
055310666X,False Memory,Dean R. Koontz,1999,Bantam Books,10
0330332775,Bridget Jones's Diary,Helen Fielding,1997,Picador (UK),5
0006379702,"My \Star Trek\"" Memories""",William Shatner,1993,HarperCollins Publishers,5
3423084049,Der Englishche Patient,Michael Ondaatje,0,Deutscher Taschenbuch Verlag (DTV),0
3442131340,Ein Fall fÃ?Â¼r Kay Scarpetta / Ein Mord fÃ?Â¼r Kay Scarpetta. Zwei Romane in einem Band.,Patricia Cornwell,2001,Goldmann,7
3446202102,Der GeschichtenverkÃ?Â¤ufer.,Jostein Gaarder,2002,Hanser Belletristik,0
3453073398,Die Scheibenwelt. Zwei Romane in einem Band. Das Licht der Phantasie / Das Erbe des Zauberers.,Terry Pratchett,1993,Heyne,0
3453115783,Tom Clancy's Op- Center. Spiegelbild.,Tom Clancy,1996,Heyne,0
3499134004,Rabbit in Ruhe.,John Updike,1994,Rowohlt Tb.,0
349915398X,Hasenherz. Roman.,John Updike,1976,Rowohlt Tb.,0
3548603203,Artemis Fowl.,Eoin Colfer,2003,Ullstein TB-Vlg,6
3764501383,Nomadentochter.,Waris Dirie,2002,Blanvalet Verlag GmbH,0
3791535889,Moby Dick. ( Ab 12 J.).,Herman Melville,2001,Dressler Verlag,0
0061054143,The X-Files: Goblins,Charles Grant,1994,HarperEntertainment,0
0061054151,Whirlwind (The X-Files),Charles Grant,1995,HarperEntertainment,0
0061056774,The X-Files: Ground Zero,Kevin J. Anderson,1996,HarperEntertainment,0
0671021346,"Blooded (Buffy the Vampire Slayer, Book 5)",Christopher Golden,1998,Simon Spotlight Entertainment,0
0671024108,Speaking in Tongues,Jeffery Deaver,2002,Pocket,0
1562827898,Storm Surge: A Quin St. James and Mike McCleary Mystery,T. J. MacGregor,1993,Hyperion Books,7
0064405176,Walk Two Moons,Sharon Creech,1996,HarperTrophy,0
0439104769,Bloomability,Sharon Creech,0,Scholastic Inc,0
0440498058,A Wrinkle In Time,MADELEINE L'ENGLE,1998,Yearling,8
0395547032,"Richard Brautigan : A Confederate General from Big Sur, Dreaming of Babylon, and the Hawkline Monster (Three Books in the Manner of Their Original ed)",Richard Brautigan,1991,Mariner Books,10
0440414121,The Watsons Go to Birmingham - 1963 (Yearling Newbery),CHRISTOPHER PAUL CURTIS,1997,Yearling,10
8401328322,Por los pelos,Miriam Keyes,2000,Downtown Book Center,0
8401461189,007 El Mundo Nunca Es Suficiente,Raymond Benson,1999,"Plaza &amp; Janes Editores, S.A.",0
8401471796,Cinco Semanas En Globo (Espasa Bolsillo),Verne,0,Plaza &amp; Janes Editor,0
8423996565,La hija del CanÃ­bal,Rosa Montero,1998,"Espasa Calpe Mexicana, S.A.",8
8424130081,"Los Calusari/the Calusari (Coleccion \Expediente X\""/the X Files Series)""",Garth Nix,1998,Everest Pub,0
8426449476,El Diaro De Bridget Jones,Helen Fielding,1996,Lumen Espana,8
8426449573,Bridget Jones:SobrevivirÃ©,Helen Fielding,2000,Downtown Book Center Inc,6
8478885218,La Fiesta De Ralph,Lisa Jewell,0,Emece Editores,6
8478886044,Nadie Es Perfecto (Narrativa Actual),Jane Green,2001,Oceano De Mexico,8
8495618052,Katie.com,Katherine Tarbox,2001,Umbriel,0
0091830893,The Circle And The Cross 1: Playing Of,Caiseal Mor,1996,Random House Australia,8
0812571029,Uther (Camulod Chronicles),Jack Whyte,2001,Tor Books,9
0671749609,PERFUME : PERFUME,Patrick Suskind,1991,Washington Square Press,0
0140062718,The Rebel Angels,Robertson Davies,1983,Penguin Books,0
0060096195,The Boy Next Door,Meggin Cabot,2002,Avon Trade,10
0141310340,Skin and Other Stories (Now in Speak!),Roald Dahl,2002,Puffin Books,9
0142302198,Growing Wings,Laurel Winter,2002,Puffin Books,10
0156006065,The Riddle of Scheherazade: And Other Amazing Puzzles,Raymond Smullyan,1998,Harvest Books,9
0375821813,Hoot (Newbery Honor Book),CARL HIAASEN,2002,Knopf Books for Young Readers,9
038076041X,A Kid's Guide to How to Save the Planet (Camelot world),Billy Goodman,1990,Harpercollins Juvenile Books,10
0439087597,The Last Book in the Universe,Rodman Philbrick,2002,Scholastic Signature,0
0439401399,The Contest,Gordon Korman,2002,Scholastic,6
0689804458,A String in the Harp,Nancy Bond,1996,Aladdin,8
0786812508,The Sandy Bottom Orchestra,Jenny Nilson,1998,Hyperion Books for Children,9
0786817070,"Artemis Fowl (Artemis Fowl, Book 1)",Eoin Colfer,2002,Miramax Kids,10
0805057706,The Number Devil: A Mathematical Adventure,Hans Magnus Enzensberger,1998,Henry Holt &amp; Company,10
1551925060,Surviving Sam,Karen Rivers,2002,Polestar Book Publishers,8
1573248533,Random Acts of Kindness,Dawna Markova,2002,Conari Press,10
0385272324,Round about Midnight: A Portrait of Miles Davis,Eric Nisenson,1982,Dial Press,0
2038701962,Ubu Roi*,Jarry,0,Editions Larousse,0
2070264564,Des bateaux dans la nuit,Philippe Labro,1982,Gallimard,0
2070334430,Contes De Ma Mere L'Oye,Charles Perrault,0,FOLIO,0
2070403734,Les Confessions: Livres I Ã?Â  IV,Jean-Jacques Rousseau,1997,Gallimard,0
2080680676,Jean-Edern Hallier,Sarah Vajda,2003,Flammarion,0
2232122263,Les derniers poÃ?Â¨mes d'amour,Paul Eluard,2002,Seghers,0
2253044903,Le Parfum : Histoire d'un meurtrier,Patrick SÃ?Â¼skind,1988,LGF,0
2253150711,Stupeur Et Tremblements,Amelie Nothomb,2001,Distribooks,7
2266076000,L'Orage,Deforges,2000,Pocket (FR),0
2277221678,Maudit Manege,Philippe Djian,0,Kurtzman Sales Inc,0
2290321028,Le chateau des carpathes,Jules Verne,2002,J'ai lu,0
2842190009,La petite Ã?Â©cuyÃ?Â¨re a caftÃ?Â©,Jean-Bernard Pouy,1997,Baleine,0
0440225825,Move to Strike,Perri O'Shaughnessy,2001,Island,9
0316781266,The Last Time They Met : A Novel,Anita Shreve,2002,Back Bay Books,0
0345446860,Back When We Were Grownups : A Novel (Ballantine Reader's Circle),ANNE TYLER,2002,Ballantine Books,5
0671876244,"Field of Dishonor (Honor Harrington Series, Book 4)",David Weber,1994,Baen,0
3125785006,Of Mice and Men. Text and Study Aids. (Lernmaterialien),John Steinbeck,2001,Klett,10
0380005239,Go Ask Alice (Avon/Flare Book),James Jennings,1991,Avon Books,5
1593080255,The Picture of Dorian Gray,Oscar Wilde,2003,Barnes &amp; Noble Books-Imports,0
0385729340,The Second Summer of the Sisterhood,ANN BRASHARES,2003,Delacorte Books for Young Readers,0
0446364193,Along Came a Spider (Alex Cross Novels),James Patterson,1993,Warner Books,0
3379015180,Schlafes Bruder,Robert Schneider,1994,"Reclam, Leipzig",0
3404145909,Der Stein der Kelten.,Michael Phillips,2001,LÃ?Â¼bbe,8
3404148576,Nordermoor,Arnaldur Indridason,2003,LÃ?Â¼bbe,8
3404921178,Nur der Tod ist ohne Makel.,Ann Granger,2002,LÃ?Â¼bbe,7
3423071516,Der Kleine Hobbit,J. R. R. Tolkien,2002,Distribooks,10
3423204885,Die Benachteiligung erfolgt durch die Post. StilblÃ?Â¼ten aus Inseraten und Pressenotizen.,Georg Friedrich Nikol,2001,Dtv,0
3423205806,Lieber Sport als Mord.,Horst Bosetzky,2002,Dtv,0
3426622610,Gratsch.,Jockel Tschiersch,2003,"Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH &amp; Co.",0
3426671298,Das geheime ABC der Toten.,Patricia Cornwell,1997,"Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH &amp; Co.",8
344215121X,Hitlers Kinder.,Guido Knopp,2001,Goldmann,9
3442413508,Auf Ehre und Gewissen. Roman.,Elizabeth George,1992,Goldmann,10
3442422035,Keiner werfe den ersten Stein. Roman.,Elizabeth George,1993,Goldmann,9
3442435773,Denn keiner ist ohne Schuld.,Elizabeth George,1996,Goldmann,8
3442437717,Asche zu Asche.,Elizabeth George,1997,Goldmann,7
3442441080,Im Angesicht des Feindes.,Elizabeth George,1998,Goldmann,10
3442442796,Reif fÃ?Â¼r die Insel. England fÃ?Â¼r AnfÃ?Â¤nger und Fortgeschrittene.,Bill Bryson,1999,Goldmann,0
3442444020,Denn sie betrÃ?Â¼gt man nicht.,Elizabeth George,1999,Goldmann,8
3442446414,Mit dem KÃ?Â¼hlschrank durch Irland.,Tony Hawks,2000,Goldmann,10
3442448530,Die HirnkÃ?Â¶nigin.,Thea Dorn,2001,Goldmann,7
3442449820,Undank ist der VÃ?Â¤ter Lohn.,Elizabeth George,2001,Goldmann,9
3453137442,Der Goldene Kompass / The Golden Compass,Philip Pullman,2002,Distribooks,6
3453870190,Auf dÃ?Â¼nnem Eis.,Charles Todd,2003,Heyne,0
347354034X,Die Welle,Rhue,1998,"Ullstein-Taschenbuch-Verlag, Zweigniederlassung der Ullstein Buchverlage GmbH",7
3492231322,Der UnterhÃ?Â¤ndler.,Frederick Forsyth,2000,Piper,9
349912176X,Inspektor Jury kÃ?Â¼Ã?Â?t die Muse. Roman.,Martha Grimes,2003,Rowohlt Tb.,0
3499222213,Im Keller.,Jan Philipp Reemtsma,1998,Rowohlt Tb.,7
3499228297,"Alte Freunde, neue Feinde. Ein Fall fÃ?Â¼r Bernhard Gunther.",Philip Kerr,2000,Rowohlt Tb.,6
3499232529,Der Tag X.,Philip Kerr,2002,Rowohlt Tb.,0
3499233436,Tod im weiÃ?Â?en HÃ?Â¤ubchen.,P. D. James,2003,Rowohlt Tb.,0
3499264528,Inspektor Jury bricht das Eis. Roman.,Martha Grimes,2003,Wunderlich im Rowohlt,0
3499433443,Goldmann: Feuer in Berlin,Kerr,0,Wilhelm Goldmann Verlag GmbH,8
3506464078,Le Petit Prince. (FranzÃ?Â¶sische Ausgabe). (Lernmaterialien),Antoine de Saint-Exupery,1981,"F. SchÃ?Â¶ningh, Paderborn",10
3548602967,Rand.,Jan Kjaerstad,2003,List Tb.,0
3551551677,Harry Potter und der Stein der Weisen,Joanne K. Rowling,1999,Carlsen Verlag GmbH,10
3551551685,Harry Potter und die Kammer des Schreckens,Joanne K. Rowling,2000,Carlsen Verlag GmbH,10
3551551693,Harry Potter und der Gefangene von Azkaban,J. K. Rowling,1999,Carlsen Verlag GmbH,10
3551551936,Harry Potter Und Der Feuerkelch,Joanne K. Rowling,1999,Carlsen Verlag GmbH,10
359621078X,Saemtliche Erzaehlungen,Franz Kafka,0,Fischer Taschenbuch Verlag,9
3608932240,Der Herr der Ringe. AnhÃ?Â¤nge und Register.,John Ronald Reuel Tolkien,2000,Klett-Cotta,7
360893541X,Die Gefahrten I,J. R. R. Tolkien,2001,Distribooks,10
3608935428,Die Zwei Turme II,J. R. R. Tolkien,2001,Distribooks,10
3608935436,Die Wiederkehr Des Konigs III,J. R. R. Tolkien,2001,Distribooks Intl,10
374661922X,Der Sterne TennisbÃ?Â¤lle.,Stephen Fry,2003,Aufbau Tb,0
3770131495,Ungarn.,Elke Eberhardt,2002,Dumont Reiseverlag,0
3809024589,Die Chirurgin.,Tess Gerritsen,2002,Limes,8
3821815191,Das bizarre Sexualleben der Tiere. Ein populÃ?Â¤res Lexikon von Aal bis Zebra.,Michael Miersch,1999,Eichborn,10
3442440777,Die siebte GeiÃ?Â?el.,Ann Benson,1998,Goldmann,0
3453042905,Gevatter Tod. Roman. ( Fantasy).,Terry Pratchett,1990,Heyne,0
3453061187,Die Jury. Roman.,John Grisham,1992,Heyne,0
3453071174,Die Firma. Roman.,John Grisham,1993,Heyne,0
3453127013,Der Regenmacher.,John Grisham,1997,Heyne,0
3453211014,Kaltgestellt.,Colin Forbes,2002,Heyne,0
3596122279,Das Superwieb,Hera Lind,2002,Distribooks Inc,0
3922524443,Ich liebe Dich!: Ein Eisenbahnroman mit 66 Intermezzos,Paul Scheerbart,1988,Affholderbach &amp; Strohmann,0
0449217264,Alaska,James A. Michener,1994,Fawcett Books,7
055321358X,O Pioneers! (Bantam Classic),Willa Cather,1989,Bantam Books,0
8420457477,Los Trapos Sucios - Manolito Gafotas,Lindo,0,European Schoolbooks Limited,1
8448034023,Mycroft Holmes Contra La Hermandad,Quinn Fawcett,2000,Timun Mas,7
0671034944,Soul Survivor,Christopher Golden,1999,Simon Pulse,5
0843946415,Alone with the Dead (Joe Keough Mysteries (Paperback)),Robert J. Randisi,1999,Leisure Books,0
2010173929,La Citadelle Du Vertige,Grousset,0,Hachette,0
2012003494,Les Six Compagnons Ã?Â  Scotland Yard,Paul-Jacques Bonzon,1999,Hachette LittÃ?Â©rature,0
2013218826,Mon bel oranger,JosÃ?Â© Mauro de Vasconcelos,2001,Hachette Jeunesse,0
2013220162,L'Appel de la forÃ?Âªt,Jack London,2002,Hachette Jeunesse,0
207033015X,Un Bon Petit Diable,Segur,0,Livre de Poche,0
